Lemma	Frequency	
Easter	3	
Christmas	3	
4	3	
yummy	2	
wonderfully	2	
witness	2	
well-write	2	
well-wishing	2	
vivid	2	
vinyl	2	
valuation	2	
validation	2	
up	2	
unwitting	2	
unconditional	2	
twice-weekly	2	
tweet	2	
try	2	
training	2	
totally	2	
tidbit	2	
though	2	
thoroughness	2	
that	2	
tenacity	2	
template	2	
superlative	2	
suggested	2	
subsequent	2	
sublime	2	
sterling	2	
steady	2	
steadfast	2	
stance	2	
specific	2	
song	2	
son	2	
solidarity	2	
sobering	2	
slogan	2	
slide	2	
skilled	2	
sickening	2	
shared	2	
setting	2	
sense	2	
scientific	2	
sage	2	
sacrifice	2	
ride	2	
responsiveness	2	
reprint	2	
remind	2	
remembrance	2	
release	2	
referral	2	
recollection	2	
recognition	2	
quickly	2	
quality	2	
provide	2	
promptness	2	
promptly	2	
prolific	2	
private	2	
preview	2	
precision	2	
precise	2	
prayerful	2	
politeness	2	
pointed	2	
poetry	2	
pedantry	2	
patch	2	
p	2	
overview	2	
overly	2	
outlook	2	
opportunity	2	
open	2	
op	2	
obviously	2	
objective	2	
not	2	
nonsense	2	
never-end	2	
movie	2	
move	2	
motivation	2	
model	2	
misdirect	2	
mess	2	
mature	2	
logo	2	
listing	2	
life	2	
lecture	2	
labor	2	
kinda	2	
kick	2	
it	2	
invite	2	
inter	2	
instructive	2	
instant	2	
inspired	2	
inside	2	
inquire	2	
innovative	2	
indirect	2	
indefatigable	2	
inane	2	
implied	2	
ide	2	
humour	2	
humble	2	
hug	2	
honestly	2	
hilarious	2	
heroic	2	
helping	2	
healthful	2	
head	2	
hand	2	
guiding	2	
grace	2	
glimpse	2	
gesture	2	
generally	2	
gen	2	
gallery	2	
friend	2	
forum	2	
forthright	2	
forgiveness	2	
followup	2	
favourable	2	
facilitation	2	
extended	2	
expression	2	
exposition	2	
exhaustive	2	
exciting	2	
exceptional	2	
everything	2	
error	2	
enlightenment	2	
enlightened	2	
engaging	2	
endurance	2	
emotional	2	
elucidation	2	
elegant	2	
elaborate	2	
editor	2	
edification	2	
dogged	2	
diligent	2	
diagram	2	
design	2	
deep	2	
decision	2	
decade	2	
curiosity	2	
counsel	2	
copy	2	
conversion	2	
continually	2	
contempt	2	
consult	2	
confession	2	
compliance	2	
complement	2	
compilation	2	
competent	2	
committment	2	
commiseration	2	
collaboration	2	
close	2	
cheerful	2	
charming	2	
cautionary	2	
carefully	2	
candour	2	
camera	2	
calm	2	
brilliance	2	
briefing	2	
booking	2	
bold	2	
bit	2	
birthday	2	
beautifully	2	
be	2	
backing	2	
background	2	
awesomeness	2	
attentive	2	
astonishingly	2	
as	2	
artistic	2	
argument	2	
approach	2	
applause	2	
answering	2	
anecdote	2	
allocation	2	
alert	2	
active	2	
action	2	
absolutely	2	
ability	2	
World	2	
Web	2	
Query	2	
Post	2	
Message	2	
Friend	2	
Co	2	
7	2	
--	2	
#	2	
written	1	
worthy	1	
working	1	
witting	1	
wit	1	
wire	1	
win	1	
wholehearted	1	
whisky	1	
well-versed	1	
well-timed	1	
well-reasoned	1	
well-intentioned	1	
well-informed	1	
weekend	1	
week	1	
weather	1	
wealth	1	
w	1	
vulnerable	1	
voting	1	
volume	1	
vocal	1	
vitally	1	
vital	1	
viewership	1	
viable	1	
verdict	1	
venal	1	
vegan	1	
usage	1	
upbeat	1	
unyielding	1	
unwaver	1	
unstint	1	
unsparing	1	
unsigned	1	
unlimited	1	
unimaginative	1	
unequivocal	1	
understandably	1	
unanswered	1	
typical	1	
two-cent	1	
twitter	1	
tuppence	1	
truthful	1	
truth	1	
truly	1	
true	1	
trouble-shooting	1	
trip	1	
trial	1	
trenchant	1	
treatment	1	
treatise	1	
travel	1	
tour	1	
top-notch	1	
tolerant	1	
title	1	
timelessly	1	
tidy	1	
thumb	1	
through	1	
thrift	1	
three	1	
thread	1	
thoroughly	1	
this	1	
third	1	
these	1	
thesaurus	1	
theme	1	
the	1	
testimonial	1	
tesla	1	
telephone	1	
team	1	
teach	1	
tax	1	
taste	1	
tape	1	
talent	1	
tale	1	
t	1	
synthesis	1	
sweetness	1	
swap	1	
sustained	1	
survey	1	
surprisingly	1	
suppport	1	
super-fast	1	
sup	1	
suggest	1	
such	1	
successful	1	
substantive	1	
subscription	1	
stylistic	1	
stunning	1	
study	1	
stubborn	1	
stroke	1	
strength	1	
street	1	
sternness	1	
stern	1	
step-by-step	1	
step	1	
stellar	1	
steadfastness	1	
statistical	1	
staff	1	
spreadsheet	1	
spread	1	
spot	1	
spirit	1	
speed	1	
speculation	1	
spectacular	1	
specification	1	
spare	1	
source	1	
soup	1	
soporific	1	
solid	1	
soft	1	
snippet	1	
smooth	1	
smile	1	
small	1	
slant	1	
skeptical	1	
sincerity	1	
simplify	1	
simplicity	1	
silly	1	
silence	1	

